Date,Quarter,Month,Frequency,Day of Week,trip_duration_seconds,Distance,Ave_duration,Ave_disdance
2017-01-01,1,January,482,Sun,408722,631796.0,847.9709543568465,1310.7800829875519
2017-01-02,1,January,762,Mon,615313,956308.0,807.497375328084,1254.997375328084
2017-01-03,1,January,909,Tue,580307,1202159.0,638.4015401540154,1322.5071507150715
2017-01-04,1,January,1340,Wed,888902,1312774.0,663.3597014925373,979.6820895522388
2017-01-05,1,January,1182,Thu,722525,888299.0,611.2732656514382,751.5219966159052
2017-01-06,1,January,1171,Fri,713467,798023.0,609.2801024765158,681.4884713919727
2017-01-07,1,January,627,Sat,370375,509170.0,590.7097288676237,812.0733652312599
2017-01-08,1,January,475,Sun,269445,323197.0,567.2526315789473,680.4147368421053
2017-01-09,1,January,1255,Mon,782264,810599.0,623.3179282868526,645.8956175298805
2017-01-10,1,January,617,Tue,404438,372683.0,655.4910858995138,604.0243111831443
2017-01-11,1,January,1614,Wed,1016112,959650.0,629.5613382899628,594.5786864931846
2017-01-12,1,January,1799,Thu,1126223,1090762.0,626.0272373540856,606.3157309616454
2017-01-13,1,January,1731,Fri,1065955,790180.0,615.8030040439053,456.4875794338533
2017-01-14,1,January,827,Sat,495626,545642.0,599.3059250302298,659.7847642079806
2017-01-15,1,January,737,Sun,502216,497487.0,681.4328358208955,675.0162822252374
2017-01-16,1,January,1711,Mon,1137834,775176.0,665.0111046171829,453.0543541788428
2017-01-17,1,January,1004,Tue,635065,387813.0,632.534860557769,386.26792828685257
2017-01-18,1,January,1834,Wed,1173499,737772.0,639.8576881134134,402.2748091603053
2017-01-19,1,January,2083,Thu,1324872,864741.0,636.0403264522323,415.14210273643783
2017-01-20,1,January,2047,Fri,1288866,791544.0,629.6365412799219,386.68490473864193
2017-01-21,1,January,1402,Sat,1063553,880531.0,758.5970042796006,628.0534950071327
2017-01-22,1,January,1014,Sun,708441,529548.0,698.6597633136095,522.2366863905326
2017-01-23,1,January,1819,Mon,1153474,579353.0,634.1253435953821,318.500824628917
2017-01-24,1,January,1936,Tue,1244637,562770.0,642.8910123966942,290.68698347107437
2017-01-25,1,January,2142,Wed,1401410,718354.0,654.2530345471522,335.36601307189545
2017-01-26,1,January,1539,Thu,1018661,457187.0,661.8979857050033,297.0675763482781
2017-01-27,1,January,1913,Fri,1193588,532022.0,623.9351803450079,278.1087297438578
2017-01-28,1,January,862,Sat,569765,432870.0,660.9802784222737,502.16937354988397
2017-01-29,1,January,755,Sun,487620,332103.0,645.8543046357615,439.87152317880793
2017-01-30,1,January,1516,Mon,998040,369446.0,658.3377308707124,243.69788918205805
2017-01-31,1,January,1734,Tue,1080062,364023.0,622.8731257208766,209.9325259515571
2017-02-01,1,February,1612,Wed,1071354,395716.0,664.6116625310174,245.48138957816377
2017-02-02,1,February,1778,Thu,1088772,348657.0,612.3577052868392,196.09505061867267
2017-02-03,1,February,1580,Fri,956032,305802.0,605.0835443037975,193.54556962025316
2017-02-04,1,February,830,Sat,565080,359283.0,680.8192771084338,432.8710843373494
2017-02-05,1,February,705,Sun,448484,240987.0,636.1475177304965,341.82553191489365
2017-02-06,1,February,1704,Mon,1123548,326811.0,659.3591549295775,191.79049295774647
2017-02-07,1,February,1207,Tue,745363,262493.0,617.5335542667772,217.4755592377796
2017-02-08,1,February,1619,Wed,1050356,307200.0,648.7683755404571,189.7467572575664
2017-02-09,1,February,1615,Thu,986138,317594.0,610.6117647058824,196.65263157894736
2017-02-10,1,February,1194,Fri,724133,164636.0,606.4765494137354,137.88609715242882
2017-02-11,1,February,637,Sat,466362,179992.0,732.1224489795918,282.5620094191523
2017-02-12,1,February,283,Sun,187964,96332.0,664.1837455830389,340.3957597173145
2017-02-13,1,February,828,Mon,573907,153474.0,693.1243961352657,185.35507246376812
2017-02-14,1,February,1461,Tue,968506,299400.0,662.9062286105408,204.92813141683777
2017-02-15,1,February,1639,Wed,1034685,306536.0,631.2904209884076,187.026235509457
2017-02-16,1,February,1542,Thu,957003,200866.0,620.624513618677,130.2632944228275
2017-02-17,1,February,1586,Fri,1096373,331446.0,691.28184110971,208.98234552332914
2017-02-18,1,February,1365,Sat,1437390,533630.0,1053.032967032967,390.93772893772893
2017-02-19,1,February,1630,Sun,2226153,639017.0,1365.7380368098159,392.0349693251534
2017-02-20,1,February,1093,Mon,1088444,380424.0,995.8316559926807,348.05489478499544
2017-02-21,1,February,1660,Tue,1075341,333606.0,647.7957831325301,200.96746987951806
2017-02-22,1,February,2197,Wed,1545011,555892.0,703.2366863905326,253.0232134729176
2017-02-23,1,February,2733,Thu,2280664,817510.0,834.4910354921332,299.12550311013536
2017-02-24,1,February,1726,Fri,1143111,377257.0,662.2891077636153,218.57300115874855
2017-02-25,1,February,1337,Sat,969478,358041.0,725.114435302917,267.79431563201194
2017-02-26,1,February,965,Sun,640749,290830.0,663.9886010362694,301.37823834196894
2017-02-27,1,February,2110,Mon,1516374,378813.0,718.660663507109,179.53222748815165
2017-02-28,1,February,2486,Tue,1637130,501485.0,658.5398230088496,201.72365245374095
2017-03-01,1,March,1997,Wed,1281192,290064.0,641.5583375062594,145.24987481221834
2017-03-02,1,March,1833,Thu,1187565,284739.0,647.8805237315876,155.3404255319149
2017-03-03,1,March,1614,Fri,1001059,213956.0,620.2348203221809,132.5625774473358
2017-03-04,1,March,823,Sat,541353,143667.0,657.7800729040097,174.56500607533414
2017-03-05,1,March,721,Sun,455764,177718.0,632.127600554785,246.48821081830792
2017-03-06,1,March,2029,Mon,1306592,288081.0,643.9586002957121,141.98176441596846
2017-03-07,1,March,1423,Tue,894377,258668.0,628.5151089248068,181.7765284609979
2017-03-08,1,March,2254,Wed,1501428,302119.0,666.1171251109139,134.0368234250222
