Station Id,Station Name,Frequency,Average of Distance,Average of Trip Duration (s),Latitude,Longitude
7033,Union Station,17207,1.559753487,945.5945255,43.645609,-79.380386
7076,York St / Queens Quay W,14917,1.567915928,1909.823155,43.640132,-79.380464
7030,Bay St / Wellesley St W,14324,1.532984201,679.0094247,43.664088,-79.387095
7010,King St W / Spadina Ave,14079,1.421566381,926.1274238,43.645323,-79.395003
7006,Bay St / College St (East Side),13668,1.412824714,682.4276412,43.660439,-79.385525
7049,Queen St W / Portland St,13586,1.478954686,766.5052996,43.6476,-79.4015
7016,Bay St / Queens Quay W (Ferry Terminal),12579,1.535746915,3425.752286,43.640823,-79.376265
7059,Front St W / Blue Jays Way,12362,1.368909603,921.9196732,43.643473,-79.390477
7021,Bay St / Albert St,12214,1.41084328,892.4253316,43.653264,-79.382458
7077,College Park South,11910,1.410491151,850.6132662,43.659777,-79.382767
7022,Simcoe St / Queen St W,11855,1.326260113,837.2645297,43.650858,-79.387582
7020,Phoebe St / Spadina Ave,11569,1.541934061,1115.38681,43.650033,-79.396555
7043,Queens Quay W / Lower Simcoe St,10697,1.580583215,1682.839675,43.63951,-79.383717
7028,Gould St / Mutual St,9999,1.224373457,806.5561556,43.6582,-79.3768
7026,Bay St / St. Joseph St,9937,1.454874722,709.774278,43.665527,-79.387499
7102,Nelson St / Duncan St,9823,1.529013061,891.9499135,43.648711,-79.389728
7038,Dundas St W / Yonge St,9156,,1018.643076,43.656094,-79.381484
7009,King St E / Jarvis St,9056,1.533260756,1042.289201,43.650325,-79.372287
7046,Niagara St / Richmond St W,9004,1.839129144,908.920924,43.64534,-79.409597
7018,Bremner Blvd / Rees St,8864,1.393962305,1564.859319,43.641529,-79.386741
7011,Wellington St W / Portland St,8581,1.443967461,859.800606,43.642982,-79.399256
7069,Queen St W / Spadina Ave,8398,1.578993686,905.9782091,43.649147,-79.395504
7176,Bathurst St / Fort York Blvd,7919,1.578670542,1029.720293,43.639179,-79.399595
7012,Elizabeth St / Edward St (Bus Terminal),7848,1.401647681,829.6759684,43.656026,-79.385327
7052,Wellington St W / Bay St,7824,1.570283059,885.6628323,43.647259,-79.379878
7177,East Liberty St / Pirandello St,7751,2.086131328,1116.597471,43.63861111,-79.41472222
7168,Queens Quay / Yonge St,7745,1.557652537,2311.807489,43.641646,-79.375308
7066,Willcocks St / St. George St,7671,1.444091078,672.8688567,43.662085,-79.397735
7037,Bathurst St / Dundas St W,7641,1.642027268,829.9022379,43.6523,-79.4058
7075,Queens Quay W / Dan Leckie Way,7632,1.585241654,1541.541929,43.636533,-79.395854
7100,Dundas St E / Regent Park Blvd,7592,1.796291727,804.9182034,43.660207,-79.361275
7060,Princess St / Adelaide St E,7542,,817.4810395,43.652123,-79.367139
7015,King St W / Bay St (West Side),7460,1.515700731,1088.571984,43.64852,-79.380576
7031,Jarvis St / Isabella St,7310,1.827527542,796.4239398,43.668991,-79.379385
7013,Scott St / The Esplanade,7299,1.374222903,945.028086,43.64656,-79.375274
7045,Bond St / Queen St E,7269,1.381516262,837.6006328,43.653236,-79.376716
7032,Augusta Ave / Dundas St W,7195,1.455780093,1655.891313,43.652473,-79.401456
7057,Simcoe St / Wellington St W,7189,1.408854098,729.3761302,43.6458569,-79.3853654
7189,Augusta Ave / Denison Sq,7187,1.553136333,1122.834841,43.653766,-79.4016759
7017,Widmer St / Adelaide St W,7165,,893.8193999,43.6475076,-79.3914841
7025,Ted Rogers Way / Bloor St E,7119,2.054781451,941.9181065,43.671293,-79.380471
7014,Sherbourne St / Carlton St (Allan Gardens),7034,1.539681716,828.9201024,43.663102,-79.373181
7053,Metro Hall Plaza,7014,1.520587984,908.4372683,43.645859,-79.38783
7202,Queen St W / York St (City Hall),7004,1.518871723,965.8650771,43.651667,-79.384167
7041,Edward St / Yonge St,6936,1.425472334,845.1989619,43.656729,-79.382736
7034,Church St / Bloor St E,6858,2.064060646,882.7751531,43.671389,-79.382919
7160,King St W / Tecumseth St,6749,1.678589924,906.4769595,43.64333333,-79.40555556
7003,Madison Ave / Bloor St W,6719,1.676746841,836.3521357,43.667158,-79.402761
7038,Dundas St / Yonge St,6705,1.484735803,813.3712155,43.656094,-79.381484
7001,Lower Jarvis St / The Esplanade,6412,1.49465916,1273.960699,43.647992,-79.370907
7118,King St W / Bay St (East Side),6384,1.593060201,846.7536028,43.648575,-79.380042
7042,Sherbourne St / Wellesley St E,6199,,894.5954186,43.6673,-79.374
7190,St. George St / Hoskin Ave,6152,1.501099874,674.8151821,43.6637403,-79.3980645
7101,Lower Sherbourne St / The Esplanade,6106,1.702940914,1130.666557,43.648655,-79.367061
7163,Yonge St / Wood St,6104,1.493947524,707.4205439,43.6622222,-79.3825
7017,Widmer St / Adelaide St ,5963,1.505389631,735.5884622,43.6475076,-79.3914841
7104,King St E / River St,5944,1.964449375,987.2020525,43.657071,-79.356598
